#	+	GvectorName	TotalNumberReads	NumberMappedReads	NumberUnmappedReads
#	@	GenomeIndex	GenomeName	PercentageAlignmentRate
#	*	GenomeIndex	PercentageScaledEstimation	RelativeAbundanceEstimation
+	sigma_out.gvector.txt	49503334	32270610	17232724
*	81	0.21061891431058843427	0.13729986029507465495
*	82	0.210512777483702479	0.13723067101285227332
*	83	0.18201403545050984234	0.11865269423165675233
*	84	0.18836175794315843102	0.12279069586501119293
*	85	0.19370659610430654429	0.12627492963018605021
*	87	0.19269385825788495903	0.12561473837773198814
*	88	0.18455213634673378609	0.1203072507543082037
*	89	0.18847339170636495664	0.12286346853190409367
*	90	0.18507547004175217698	0.12064840550505281924
*	93	0.074742437728310656686	0.048723668962975287544
*	95	0.13166530532165396372	0.085830980971221451648
*	96	0.16841945458849760797	0.10979055542881449581
*	97	0.17229921250333160576	0.11231972153637446998
*	98	0.16339917204864520817	0.10651789545133931447
*	99	0.16591184540565886985	0.1081558760762721394
*	100	0.13790857308064080611	0.089900889858082255746
*	101	0.13766405358405225945	0.089741490628288858589
*	105	0.15562056221633013831	0.10144711609250249562
*	106	0.12047364346904004817	0.07853527529415368913
*	111	0.10922847088228543333	0.071204686632593050533
*	114	0.10030365384895603698	0.06538670900296653099
*	115	0.11946426968168159799	0.077877277030116223711
*	116	0.12468914452296801787	0.081283308193632719529
*	117	0.12036394589294721613	0.078463764803647403911
*	119	0.1199661363166696082	0.078204437670442189523
*	124	0.10155691938781785666	0.066203697277555262346
*	126	0.11136278741546778992	0.072596021132586119329
*	127	0.050820691686352587046	0.033129379151321941555
*	130	0.087315751257969601018	0.056920056247180168818
*	133	0.093558285434963681104	0.060989486921030275357
*	137	0.088770319118233770306	0.05786827101059629358
*	139	0.068764760705958383191	0.044826895386183639169
*	140	0.094822200524607103134	0.061813417505806607377
*	142	0.019508714293575809412	0.01271748910021717853
*	143	0.073188574688999280538	0.047710724902782650214
*	145	0.08141215850372920948	0.053071577286734443468
*	148	0.078149871547887550527	0.050944932845775107999
*	149	0.077938464724277914386	0.050807119357171581786
*	151	0.02218499687678742241	0.01446212455229833535
*	153	0.071272210733513446934	0.046461470987368781727
*	155	0.064997531295322513722	0.042371085216081565139
*	157	0.063866635281027719917	0.041633868118181413531
*	158	0.060415376812508934934	0.039384035489801939856
*	161	0.067045365160001313409	0.043706042736151674843
*	162	0.02508662870093668687	0.016353662382067729597
*	166	0.064771032814544146627	0.04222343366318229152
*	167	0.057074404754876316426	0.037206097206033822422
*	172	0.037192457662587129208	0.024245302269355450964
*	174	0.049986125362111950843	0.032585335706314721982
*	176	0.04922126350402794559	0.032086731739032349486
*	180	0.048307336884854647219	0.031490954301174121921
*	182	0.033618336976728196985	0.021915377283973937889
*	185	0.039377799284527878476	0.025669899392418260575
*	186	0.051296416438341201072	0.033439498222065162925
*	190	0.017225571998912204974	0.011229136930531107702
*	192	0.047881652031638070877	0.031213455620356801712
*	199	0.037931456543905645029	0.024727046482572810626
*	209	0.023242895133496577903	0.015151755316600817869
*	221	0.032289446362370938237	0.02104908995979929906
*	225	0.025230415720471514873	0.016447395358324862907
*	245	0.018822166004843494946	0.012269936778350374121
